t,m,i,F 00-03,F 04-08,F 09-13,F 14-18,F 19-30,F 31-50,F 51+,M 00-03,M 04-08,M 09-13,M 14-18,M 19-30,M 31-50,M 51+,M NA,log HSize,F NA
2017-18,Bamako,1022002,1,,1,,,1,1,,,,1,1,,,,1.791759469,
2017-18,Bamako,1022003,,1,1,,,1,,,1,,1,2,1,,,2.079441542,
2017-18,Bamako,1022004,,,,1,,1,,,1,2,1,,,1,,1.945910149,
2017-18,Bamako,1022005,,2,3,1,,3,,2,3,,1,1,1,2,,2.944438979,
2017-18,Bamako,1022006,2,,,,1,,,,1,,1,,1,,,1.791759469,
2017-18,Bamako,1022007,,4,1,,1,2,,,1,,,1,1,,,2.397895273,
2017-18,Bamako,1022008,,,1,,1,,,,2,,,,1,,,1.609437912,
2017-18,Bamako,1022009,,,,,1,,,,1,,,,1,,,1.098612289,
2017-18,Bamako,1023001,,1,1,,1,,,2,,1,,,,1,,1.945910149,
2017-18,Bamako,1023002,1,,,2,,1,,,,1,,,1,,,1.791759469,
2017-18,Bamako,1023003,1,,2,,1,2,,1,2,1,1,3,1,,,2.708050201,
2017-18,Bamako,1023004,2,3,1,2,,2,,,1,2,,,2,,,2.708050201,
2017-18,Bamako,1023005,,,,1,2,1,,2,1,1,1,1,,1,,2.397895273,
2017-18,Bamako,1023006,1,1,1,,1,2,1,1,,,1,1,,,,2.302585093,
2017-18,Bamako,1023007,1,1,,,,1,,,,1,2,,,1,,1.945910149,
2017-18,Bamako,1023008,,,1,,2,1,,,,2,,3,,2,,2.397895273,
2017-18,Bamako,1023009,1,,,1,2,1,,,,,,1,,,,1.791759469,
2017-18,Bamako,1024001,,2,,,1,,,,,,,,1,,,1.386294361,
2017-18,Bamako,1024002,1,,,,1,,,,,,,1,,,,1.098612289,
2017-18,Bamako,1024003,,1,,,2,,1,2,,,,1,2,,,2.197224577,
2017-18,Bamako,1024004,1,,,,,1,,,1,1,,,1,,,1.609437912,
2017-18,Bamako,1024005,,,3,,3,1,1,3,1,,1,,2,1,,2.772588722,
2017-18,Bamako,1024006,2,1,3,1,6,1,1,3,4,6,2,1,3,2,,3.583518938,
2017-18,Bamako,1024007,,1,1,2,,3,,1,2,1,1,,1,1,,2.63905733,
2017-18,Bamako,1024008,,1,1,1,,1,,,1,,1,,1,,,1.945910149,
2017-18,Bamako,1024009,,3,1,1,2,,2,,1,,,2,1,,,2.564949357,
2017-18,Bamako,1025001,,1,3,1,1,1,1,3,1,,,2,2,,,2.772588722,
2017-18,Bamako,1025002,1,,,1,,,,,,,,1,,,,1.098612289,
2017-18,Bamako,1025003,2,1,4,,3,2,,3,3,1,3,5,6,,,3.496507561,
2017-18,Bamako,1025004,1,3,1,1,1,4,,2,1,1,1,2,1,,,2.944438979,
2017-18,Bamako,1025005,1,,,,,1,1,,,,,,1,1,,1.609437912,
2017-18,Bamako,1025006,,,1,,3,,1,1,2,,,2,1,1,,2.48490665,
2017-18,Bamako,1025007,2,4,,2,3,1,1,1,,,,2,1,1,,2.890371758,
2017-18,Bamako,1025008,,,,,1,1,1,1,1,1,3,2,,1,,2.48490665,
2017-18,Bamako,1025009,1,,1,,1,,,1,1,,,,1,,,1.791759469,
2017-18,Bamako,1026001,,1,1,,,1,,,1,1,1,2,,1,,2.197224577,
2017-18,Bamako,1026002,2,1,2,1,4,,1,3,2,,,4,3,,,3.135494216,
2017-18,Bamako,1026003,1,1,3,2,2,4,2,,3,4,1,2,,4,,3.36729583,
2017-18,Bamako,1026004,1,,,,,,1,,,,3,2,,,,1.945910149,
2017-18,Bamako,1026005,,2,2,,,1,1,1,1,1,1,,,1,,2.397895273,
2017-18,Bamako,1026006,,,,1,1,1,,,,1,3,1,,1,,2.197224577,
2017-18,Bamako,1026007,,,,,1,,,1,,,,1,,,,1.098612289,
2017-18,Bamako,1026008,,1,,,1,,,,,,,1,1,,,1.386294361,
2017-18,Bamako,1026009,,2,2,1,,1,,,1,,,1,,1,,2.197224577,
2017-18,Bamako,1027001,,,,,1,1,,,,,,,,,,0.6931471806,
